17:08:03.894 > Connecting to ***REMOVED***
17:08:03.894 > ................................2227.78
17:23:02.392 > Minutes: 0
17:23:02.394 > Seconds: 12
17:23:33.455 > Hours: 6
17:23:33.456 > Minutes: 0
17:23:33.457 > Seconds: 12
17:24:02.632 > Hours: 6
17:24:02.634 > Minutes: 0
17:24:02.636 > Seconds: 12
17:24:32.458 > Hours: 6
17:24:32.460 > Minutes: 0
17:24:32.461 > Seconds: 13
17:25:02.392 > Hours: 6
17:25:02.394 > Minutes: 0
17:25:02.396 > Seconds: 13
17:25:32.443 > Hours: 6
17:25:32.445 > Minutes: 0
17:25:32.446 > Seconds: 14
17:26:02.444 > Hours: 6
17:26:02.446 > Minutes: 0
17:26:02.448 > Seconds: 14
17:26:32.449 > Hours: 6
17:26:32.451 > Minutes: 0
17:26:32.453 > Seconds: 14
17:27:02.394 > Hours: 6
17:27:02.396 > Minutes: 0
17:27:02.397 > Seconds: 15
17:27:32.511 > Hours: 6
17:27:32.514 > Minutes: 0
17:27:32.514 > Seconds: 15
17:28:02.395 > Hours: 6
17:28:02.397 > Minutes: 0
17:28:02.398 > Seconds: 16
17:28:32.515 > Hours: 6
17:28:32.517 > Minutes: 0
17:28:32.519 > Seconds: 16
17:29:02.396 > Hours: 6
17:29:02.398 > Minutes: 0
17:29:02.399 > Seconds: 17
17:29:33.421 > Hours: 6
17:29:33.423 > Minutes: 0
17:29:33.424 > Seconds: 17
17:30:02.448 > Hours: 6
17:30:02.449 > Minutes: 0
17:30:02.452 > Seconds: 17
17:30:32.459 > Hours: 6
17:30:32.461 > Minutes: 0
17:30:32.462 > Seconds: 18
17:31:02.550 > Hours: 6
17:31:02.553 > Minutes: 0
17:31:02.553 > Seconds: 18
17:31:32.399 > Hours: 6
17:31:32.401 > Minutes: 0
17:31:32.402 > Seconds: 19
17:32:02.450 > Hours: 6
17:32:02.452 > Minutes: 0
17:32:02.453 > Seconds: 19
17:32:32.479 > Hours: 6
17:32:32.482 > Minutes: 0
17:32:32.483 > Seconds: 19
17:33:02.439 > Hours: 6
17:33:02.443 > Minutes: 0
17:33:02.443 > Seconds: 20
17:33:32.452 > Hours: 6
17:33:32.454 > Minutes: 0
17:33:32.455 > Seconds: 20
17:34:03.426 > Hours: 6
17:34:03.429 > Minutes: 0
17:34:03.429 > Seconds: 21
17:34:32.473 > Hours: 6
17:34:32.475 > Minutes: 0
17:34:32.475 > Seconds: 21
17:35:03.450 > Hours: 6
17:35:03.452 > Minutes: 0
17:35:03.454 > Seconds: 21
17:35:33.427 > Hours: 6
17:35:33.429 > Minutes: 0
17:35:33.429 > Seconds: 22
17:36:02.465 > Hours: 6
17:36:02.466 > Minutes: 0
17:36:02.469 > Seconds: 22
17:36:32.464 > Hours: 6
17:36:32.467 > Minutes: 0
17:36:32.467 > Seconds: 23
17:37:02.465 > Hours: 6
17:37:02.468 > Minutes: 0
17:37:02.468 > Seconds: 23
17:37:32.538 > Hours: 6
17:37:32.541 > Minutes: 0
17:37:32.542 > Seconds: 24
17:38:02.406 > Hours: 6
17:38:02.408 > Minutes: 0
17:38:02.410 > Seconds: 24
17:38:32.578 > Hours: 6
17:38:32.580 > Minutes: 0
17:38:32.580 > Seconds: 24
17:39:02.548 > Hours: 6
17:39:02.550 > Minutes: 0
17:39:02.551 > Seconds: 25
17:39:32.528 > Hours: 6
17:39:32.531 > Minutes: 0
17:39:32.532 > Seconds: 25
17:40:02.539 > Hours: 6
17:40:02.542 > Minutes: 0
17:40:02.542 > Seconds: 26
17:40:32.479 > Hours: 6
17:40:32.481 > Minutes: 0
17:40:32.482 > Seconds: 26
17:41:02.480 > Hours: 6
17:41:02.482 > Minutes: 0
17:41:02.484 > Seconds: 26
17:41:32.490 > Hours: 6
17:41:32.492 > Minutes: 0
17:41:32.493 > Seconds: 27
17:42:02.477 > Hours: 6
17:42:02.479 > Minutes: 0
17:42:02.480 > Seconds: 27
17:42:32.411 > Hours: 6
17:42:32.413 > Minutes: 0
17:42:32.414 > Seconds: 28
17:43:02.462 > Hours: 6
17:43:02.465 > Minutes: 0
17:43:02.465 > Seconds: 28
17:43:32.452 > Hours: 6
17:43:32.454 > Minutes: 0
17:43:32.456 > Seconds: 28
17:44:02.522 > Hours: 6
17:44:02.524 > Minutes: 0
17:44:02.525 > Seconds: 29
17:44:32.413 > Hours: 6
17:44:32.415 > Minutes: 0
17:44:32.416 > Seconds: 29
17:45:02.481 > Hours: 6
17:45:02.484 > Minutes: 0
17:45:02.484 > Seconds: 30
17:45:32.413 > Hours: 6
17:45:32.415 > Minutes: 0
17:45:32.417 > Seconds: 30
17:46:02.445 > Hours: 6
17:46:02.448 > Minutes: 0
17:46:02.449 > Seconds: 31
17:46:32.466 > Hours: 6
17:46:32.468 > Minutes: 0
17:46:32.469 > Seconds: 31
17:47:02.510 > Hours: 6
17:47:02.513 > Minutes: 0
17:47:02.514 > Seconds: 31
17:47:32.416 > Hours: 6
17:47:32.418 > Minutes: 0
17:47:32.419 > Seconds: 32
17:48:02.542 > Hours: 6
17:48:02.544 > Minutes: 0
17:48:02.545 > Seconds: 32
17:48:32.463 > Hours: 6
17:48:32.465 > Minutes: 0
17:48:32.466 > Seconds: 33
17:49:02.458 > Hours: 6
17:49:02.461 > Minutes: 0
17:49:02.461 > Seconds: 33
17:49:32.464 > Hours: 6
17:49:32.466 > Minutes: 0
17:49:32.467 > Seconds: 33
17:50:02.438 > Hours: 6
17:50:02.441 > Minutes: 0
17:50:02.442 > Seconds: 34
17:50:32.439 > Hours: 6
17:50:32.442 > Minutes: 0
17:50:32.443 > Seconds: 34
17:51:02.440 > Hours: 6
17:51:02.442 > Minutes: 0
17:51:02.443 > Seconds: 35
17:51:32.487 > Hours: 6
17:51:32.490 > Minutes: 0
17:51:32.491 > Seconds: 35
17:52:02.420 > Hours: 6
17:52:02.423 > Minutes: 0
17:52:02.424 > Seconds: 35
17:52:33.449 > Hours: 6
17:52:33.451 > Minutes: 0
17:52:33.452 > Seconds: 36
17:53:03.446 > Hours: 6
17:53:03.449 > Minutes: 0
17:53:03.449 > Seconds: 36
17:53:33.446 > Hours: 6
17:53:33.448 > Minutes: 0
17:53:33.449 > Seconds: 37
17:54:02.500 > Hours: 6
17:54:02.502 > Minutes: 0
17:54:02.504 > Seconds: 37
17:54:32.484 > Hours: 6
17:54:32.486 > Minutes: 0
17:54:32.487 > Seconds: 37
17:55:02.530 > Hours: 6
17:55:02.533 > Minutes: 0
17:55:02.533 > Seconds: 38
17:55:32.424 > Hours: 6
17:55:32.426 > Minutes: 0
17:55:32.428 > Seconds: 38
17:56:02.485 > Hours: 6
17:56:02.487 > Minutes: 0
17:56:02.488 > Seconds: 39
17:56:32.486 > Hours: 6
17:56:32.489 > Minutes: 0
17:56:32.490 > Seconds: 39
17:57:02.562 > Hours: 6
17:57:02.565 > Minutes: 0
17:57:02.566 > Seconds: 40
17:57:32.597 > Hours: 6
17:57:32.600 > Minutes: 0
17:57:32.600 > Seconds: 40
17:58:02.558 > Hours: 6
17:58:02.561 > Minutes: 0
17:58:02.562 > Seconds: 40
17:58:32.558 > Hours: 6
17:58:32.561 > Minutes: 0
17:58:32.562 > Seconds: 41
17:59:03.451 > Hours: 6
17:59:03.455 > Minutes: 0
17:59:03.455 > Seconds: 41
17:59:32.565 > Hours: 6
17:59:32.568 > Minutes: 0
17:59:32.569 > Seconds: 42
18:00:02.560 > Hours: 6
18:00:02.562 > Minutes: 0
18:00:02.564 > Seconds: 42
18:00:32.560 > Hours: 6
18:00:32.563 > Minutes: 0
18:00:32.564 > Seconds: 42
18:01:02.571 > Hours: 6
18:01:02.574 > Minutes: 0
18:01:02.574 > Seconds: 43
18:01:32.468 > Hours: 6
18:01:32.471 > Minutes: 0
18:01:32.473 > Seconds: 43
18:02:02.471 > Hours: 6
18:02:02.475 > Minutes: 0
18:02:02.475 > Seconds: 44
18:02:32.462 > Hours: 6
18:02:32.465 > Minutes: 0
18:02:32.466 > Seconds: 44
